name,brand,image_url,gender,notes,emotion_tags,season_tags,time_tags,brand_tag,mood,activity,weather
1 Million Lucky,PACO RABANNE,https://www.sephora.com/productimages/sku/s2038354-main-zoom.jpg,men,"cashmir wood, cedar and honey, hazelnut, jasmine, oakmoss, patchouli and vetiver",energetic,spring,night,PACO RABANNE,fresh,work,rainy
Paradiso Assoluto,Roberto Cavalli,"https://m.media-amazon.com/images/I/91HRmV6OE5L._AC_UF1000,1000_QL80_.jpg",women,"sandalwood and patchouli, vanilla, wild jasmine and red lily",romantic,fall,night,Roberto Cavalli,romantic,casual,cold
Royal Amber,S.T.Dupont,https://fimgs.net/mdimg/perfume/375x500.43063.jpg,unisex,"lemon, mint and wood moss, sandalwood and cedar",energetic,spring,night,S.T.Dupont,fresh,casual,hot
Seductive Blue,GUESS,"https://m.media-amazon.com/images/I/71Wrn+zAmmL._AC_UF1000,1000_QL80_.jpg",men,"blue coral aquaspace accord and geranium, cashmere wood, moss and rippled sand accord",energetic,spring,night,GUESS,fresh,casual,rainy
Uomo,Roberto Cavalli,https://m.media-amazon.com/images/I/81LiK-Yh6hL.jpg,women,"african orange flower, benzoin, tonka bean, vanille",romantic,fall,night,Roberto Cavalli,romantic,casual,cold
cavalli,Roberto Cavalli,https://www.robertocavalli.com/dw/image/v2/BLPR_PRD/on/demandware.static/-/Sites-50/default/dwcd6f0431/images/zoom/SAW018SA026E0293_ECOM_DETAIL2.jpg?strip=false,women,"african orange flower, benzoin, tonka bean, vanille",romantic,fall,night,Roberto Cavalli,romantic,casual,cold
The Scent,HUGO BOSS,https://images.hugoboss.com/is/image/boss/hbna58045781_999_200?$social_sharing$,women,"lavender, osmanthus flower, roasted cocoa",romantic,fall,night,HUGO BOSS,romantic,casual,any
Gold Secret,DORALL COLLECTION,https://m.media-amazon.com/images/I/61TG3Kqcf8L.jpg,men,"labdanum and musk, lavender and cloves",sensual,spring,night,DORALL COLLECTION,romantic,date,any
Bamboo,GUCCI,"https://m.media-amazon.com/images/I/71MWz+v1bJL._AC_UF1000,1000_QL80_.jpg",women,"casablanca lily and ylang ylang extracomoros, sandalwood",romantic,fall,night,GUCCI,romantic,casual,any
M7 Oud Absolu,Yves Saint Laurent,"https://m.media-amazon.com/images/I/61tRclmMXVL._AC_UF1000,1000_QL80_.jpg",men,"amber, cistus, myrrh, oud, patchouli",energetic,spring,night,Yves Saint Laurent,fresh,date,cold
1881,CERRUTI 1881,https://m.media-amazon.com/images/I/91auQcINY0L.jpg,men,"cedar, lilyofthevalley and cassia, musk, oak moss, patchouli, pepper and pine tree, rose, sandalwood, vetiver, ylangylang",energetic,spring,day,CERRUTI 1881,fresh,date,rainy
IN 2 U MEN,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-CK-IN2U-Him-eau-de-toilette-spray-5-0-oz_5a80f907-e329-4e62-b70e-96f11cc7d7b7.3f00ea1d8989be463da33f098ed09f2b.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,men,"cacao pod, musk, vetiver and cedar",energetic,spring,day,Calvin Klein,fresh,date,any
Royale Blue,Rasasi,"https://m.media-amazon.com/images/I/51FQPFvr9DL._AC_UF1000,1000_QL80_.jpg",men,"delicate musky sensual woods, distinct and exotic",sensual,spring,night,Rasasi,romantic,date,any
Black Oud,MONTALE,https://montaleparfums.us/cdn/shop/products/black-aoud-noir_3f876d96-2fdd-4cdf-a182-d4a7789c61b6.png?v=1644350447,men,"agarwood, mandarin orange, musk, patchouli",romantic,spring,night,MONTALE,romantic,date,any
L'Homme,Yves Saint Laurent,https://www.sephora.com/productimages/sku/s987925-main-zoom.jpg,men,"basil, cedar, spices, tahitian vetiver, tonka bean, violet leaf, white pepper",energetic,spring,night,Yves Saint Laurent,fresh,work,cold
Love Story,CHLOE,https://www.sephora.com/productimages/sku/s1659390-main-zoom.jpg,women,"black currant, cashmirwood, cedar, musk, orange blossom, patchouli, peach, rose, stephanotis",romantic,fall,night,CHLOE,romantic,date,any
Narciso Rouge,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/71EpJ-MFWkL.jpg,women,"cedar wood, musk, tonka beans, vetiver",sensual,fall,night,NARCISO RODRIGUEZ,romantic,date,cold
24 Pure,DORALL COLLECTION,https://m.media-amazon.com/images/I/71mWW+MCIHL.jpg,men,"amber, cardomon, cinnamon, coumarin, cumin, jasmin, lily, musk, nutmeg, pink pepper, red fruits, sandalwood, vanilla",energetic,spring,day,DORALL COLLECTION,fresh,date,cold
Romance,Rasasi,"https://m.media-amazon.com/images/I/71rx9MwsktL._AC_UF1000,1000_QL80_.jpg",women,"amber, cedar and sandalwood, jasmine, musk, powdery notes, rose",romantic,fall,night,Rasasi,romantic,date,cold
Quatre,BOUCHERON,https://i5.walmartimages.com/seo/Boucheron-Quatre-Eau-de-Parfum-Perfume-for-Women-3-3-Oz_c2b82830-7b6b-4919-af94-4c3d2586a855.8fda5defc012b14c66692803f01ea91a.jpeg,women,"golden woods musk, rose absolute, sambac jasmine absolute",romantic,fall,night,BOUCHERON,romantic,date,any
Narciso Rodriguez,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/719IpQOO-EL.jpg,women,"amber and musk, patchouli and sandalwood",romantic,fall,night,NARCISO RODRIGUEZ,romantic,date,cold
Monsieur Intense Gold,Alina Corel,https://m.media-amazon.com/images/I/61VhCXYifDL.jpg,unisex,"amber fat, gaiak wood, musk, rare wood, saffron, shepherd, teak wood",sensual,spring,night,Alina Corel,romantic,date,cold
